Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-04-04,2016-04-06,London,Official Meetings,,236,52.26,249.19,142.87,680.32,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-04-06,2016-04-06,London,Oyster card top-up,,20,,,,20,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-04-11,2016-04-13,London,Official Meetings,,179.5,35.76,297.3,78.47,591.03,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-04-18,2016-04-18,London,Oyster card top-up,,20,,,,20,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-04-18,2016-04-20,London,Official Meetings,,179.5,37.76,263.02,,480.28,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-04-25,2016-04-25,Harrogate,Stakeholder Visit,,,31.35,,,31.35,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-04-25,2016-04-26,London,Official Meetings,,236,38.88,330.68,,605.56,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-04-25,2016-04-25,London,Annual subscription,,,,,494.03,494.03,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-05-02,2016-05-04,London,Official Meetings,,236,58.91,204,,498.91,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-05-04,2016-05-04,London,Oyster card top-up,,20,,,,20,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-05-09,2016-05-10,London,Official Meetings,,191.15,56.76,104.91,,352.82,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-05-11,2016-05-12,London,Official Meetings,,173.55,32.88,107,,313.43,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-05-12,2016-05-13,Cardiff,Official Meetings,,168.3,19.88,89,,277.18,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-05-16,2016-05-18,Belfast,FSA Board Meeting,104.64,,56.91,264.09,,425.64,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-05-24,2016-05-24,London,Official Meetings,,34,24.88,18.57,,77.45,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-05-24,2016-05-25,Grantham,Stakeholder Visits,,75.15,7.88,156,,239.03,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-06-01,2016-06-03,Belfast,Official Meetings,125.98,,80.85,223.64,106.1,536.57,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-06-06,2016-06-08,London,Official Meetings,,236,39.4,289.5,,564.9,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-06-08,2016-06-08,Moreton-in-Marsh,Stakeholder Meeting,,75,36,,,111,
Heather Hancock LVO,Chair (1 April 2016 - official start date as FSA Chair),2016-06-08,2016-06-09,London,Official Meetings,,2.4,26.4,163.7,,192.5,
