Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-04-01,2019-04-02,London, Internal Meetings,,431.75,15.76,150.9,,598.41,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-04-08,2019-04-09,London, Internal Meetings,,274,23.76,177.8,,475.56,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-04-15,2019-04-17,London, Internal Meetings,,274,31.76,240,,545.76,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-04-23,2019-04-24,London, Internal Meetings,,258.9,23.76,168.6,,451.26,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-04-29,2019-05-03,London, Internal Meetings,,289.7,15.76,426.5,,731.96,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-05-07,2019-05-08,London,FSA Board Meeting,,274,23.76,238.65,,536.41,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-05-13,2019-05-14,London, Internal Meetings,,274,31.76,155,,460.76,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-05-20,2019-05-24,London, Internal Meetings,,274,58.26,485.25,,817.51,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-06-03,2019-06-06,London, Internal Meetings,,274,31.76,445.55,,751.31,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-06-10,2019-06-12,London, Internal Meetings,,274,27.76,304.86,,606.62,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-06-18,2019-06-19,Birmingham,FSA Board Meeting,,149.2,34.76,,,183.96,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-06-23,2019-06-24,London, Internal Meetings,,274,28.16,134.5,,436.66,
DAVID BROOKS,Board Member,2019-04-17,2019-04-17,London, Internal Meetings,,25.2,,,,25.2,
DAVID BROOKS,Board Member,2019-05-08,2019-05-08,London,FSA Board Meeting,,18.8,18,,,36.8,
DAVID BROOKS,Board Member,2019-06-08,2019-06-08,Birmingham,FSA Board Meeting,,91.3,,,,91.3,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-04-01,2019-04-01,Cardiff, Internal Meetings,,64.95,24,,,88.95,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-04-01,2019-04-02,Cardiff, Internal Meetings,,,,75,,75,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-04-10,2019-04-11,Cardiff,External Conference,,59.9,,,,59.9,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-04-10,2019-04-11,Cardiff,External Conference,,,,80,,80,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-05-08,2019-05-09,"London, Cardiff, Liverpool",FSA Board Meeting,,227.25,24,,,251.25,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-05-21,2019-05-22,London, Internal Meetings,,56.3,24,,,80.3,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-06-18,2019-06-18,Birmingham,FSA Board Meeting,,41.4,,,,41.4,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-04-10,2019-04-10,Belfast,External Conference,,,5.4,,,5.4,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-05-01,2019-05-01,London, Internal Meetings,465.4,,,102.8,,568.2,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-05-08,2019-05-08,London,FSA Board Meeting,241.76,41.8,,102.8,,386.36,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-05-17,2019-05-17,Belfast,External Conference,,,5.4,102.8,,108.2,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-05-22,2019-05-22,London, Internal Meetings,138.63,6.1,,102.8,,247.53,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-06-18,2019-06-19,Birmingham,FSA Board Meeting,235.51,,28.78,102.8,,367.09,
MARY QUICKE,Board Member,2019-05-08,2019-05-08,London,FSA Board Meeting,,89.2,4.95,,,94.15,
MARY QUICKE,Board Member,2019-05-22,2019-05-22,London, Internal Meetings,,90.95,8.95,,,99.9,
MARY QUICKE,Board Member,2019-06-18,2019-06-19,Birmingham,FSA Board Meeting,,132.4,4.5,,,136.9,
PAUL WILLIAMS,Board Member,2019-05-08,2019-05-08,London,FSA Board Meeting,,56.2,8,,,64.2,
STEWART HOUSTON,Board Member,2019-04-12,2019-04-12,London, Internal Meetings,,,,144,,144,
STEWART HOUSTON,Board Member,2019-05-08,2019-05-08,London,FSA Board Meeting,,106.6,64.9,,,171.5,
