Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP
HEATHER HANCOCK LVO DL,Chairman,2018-01-08,2018-01-10,London / Cardiff,Internal and External Meetings ,,179.2,33.88,250.55,289.5,753.13
HEATHER HANCOCK LVO DL,Chairman,2018-01-15,2018-01-16,London,Internal and External Meetings ,,262,42.56,150.5,62.94,518
HEATHER HANCOCK LVO DL,Chairman,2018-01-17,2018-01-17,London,Oyster Card Auto Top-up,,,20,,,20
HEATHER HANCOCK LVO DL,Chairman,2018-01-22,2018-01-24,London,FSA Board Retreat / Internal Meetings ,,221.1,67.46,285,330,903.56
HEATHER HANCOCK LVO DL,Chairman,2018-01-29,2018-01-30,London / Brussels ,Internal and External Meetings ,,195.5,58.76,273.31,178.28,705.85
HEATHER HANCOCK LVO DL,Chairman,2018-01-31,2018-01-31,London,Oyster Card Auto Top-up,,,20,,,20
HEATHER HANCOCK LVO DL,Chairman,2018-02-07,2018-02-08,London,Internal and External Meetings ,,195.5,15.76,346,,557.26
HEATHER HANCOCK LVO DL,Chairman,2018-02-12,2018-02-13,London / Birmingham ,Internal and External Meetings ,,148.5,7.88,25,,181.38
HEATHER HANCOCK LVO DL,Chairman,2018-02-19,2018-02-21,London / Birmingham ,Internal and External Meetings ,,177.5,7.88,110.6,,295.98
HEATHER HANCOCK LVO DL,Chairman,2018-03-13,2018-03-15,London,FSA Board Meeting / Internal Meetings ,,195.5,28.76,425.5,,649.76
HEATHER HANCOCK LVO DL,Chairman,2018-03-19,2018-03-20,London,Internal and External Meetings ,,195.5,31.76,156,,383.26
HEATHER HANCOCK LVO DL,Chairman,2018-03-21,2018-03-21,London,Oyster Card Auto Top-up,,,20,,,20
LAURA SANDYS,Deputy Chair,2018-01-15,2018-01-21,London / Heathrow,Official Site Visit,,22,,,,22
DAVID BROOKS,Board Member,2018-01-15,2018-01-15,London,Internal Meeting ,,17.9,,,,17.9
DAVID BROOKS,Board Member,2018-01-22,2018-01-23,London,FSA Board Retreat ,,26.3,,175,,201.3
DAVID BROOKS,Board Member,2018-02-20,2018-02-20,London,Internal Meeting ,,31.2,,,,31.2
DAVID BROOKS,Board Member,2018-03-13,2018-03-14,London,FSA Board Meeting ,,26.3,,202.8,,229.1
ROSIE GLAZEBROOK,Board Member,2018-01-22,2018-01-23,London,FSA Board Retreat ,,10.6,,,,10.6
ROSIE GLAZEBROOK,Board Member,2018-02-20,2018-02-20,London,Internal Meeting ,,5.3,,,,5.3
ROSIE GLAZEBROOK,Board Member,2018-03-13,2018-03-14,London,FSA Board Meeting ,,,35.8,,,35.8
RAM GIDOOMAL,Board Member,2018-01-22,2018-01-23,London,FSA Board Retreat ,,,,175,,175
RAM GIDOOMAL,Board Member,2018-03-13,2018-03-14,London,FSA Board Meeting ,,,,202.8,,202.8
STEWART HOUSTON,Board Member,2018-01-19,2018-01-19,London,Internal Meeting ,,39.95,8.1,155,,203.05
STEWART HOUSTON,Board Member,2018-01-22,2018-01-23,London,FSA Board Retreat ,,148.1,88.55,,,236.65
STEWART HOUSTON,Board Member,2018-03-13,2018-03-14,London,FSA Board Meeting ,,,,135,,135
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2018-01-08,2018-01-08,Cardfiff,Ministerial Meeting ,,62.95,,,,62.95
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2018-01-18,2018-01-18,London,Food Advisory Meeting,,112.13,,,,112.13
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2018-01-22,2018-01-23,London,FSA Board Retreat ,,116.14,,175,,291.14
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2018-02-20,2018-02-20,Cardfiff,Stakeholder Meeting ,,62.95,,,,62.95
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2018-03-08,2018-03-08,Bangor,Food Advisory Meeting,,,77.4,,,77.4
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2018-03-13,2018-03-14,London,FSA Board Meeting ,,77.9,36.6,202.8,,317.3
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2018-01-11,2018-01-11,Belfast,Internal Meeting ,,,5.4,,,5.4
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2018-01-22,2018-01-23,London,FSA Board Retreat ,237.48,41.8,,175,,454.28
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2018-02-08,2018-02-08,Belfast,Food Advisory Meeting,,,67.5,,,67.5
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2018-02-21,2018-02-21,Belfast,Internal Meeting ,,,5.4,,,5.4
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2018-03-07,2018-03-07,Belfast,Internal Meeting ,,,5.4,,,5.4
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2018-03-13,2018-03-14,London,FSA Board Meeting ,153.09,70.4,12.6,202.8,,438.89
MARY QUICKE,Board Member,2018-01-15,2018-01-15,London,Internal Meeting ,,125.95,3.9,,,129.85
MARY QUICKE,Board Member,2018-01-22,2018-01-23,London,FSA Board Retreat ,,50.35,11.8,175,,237.15
MARY QUICKE,Board Member,2018-03-13,2018-03-14,London,FSA Board Meeting ,,49.4,12.4,202.8,,264.6
STUART REID,Board Member,2018-01-22,2018-01-23,London,FSA Board Retreat ,,,,175,,175
PAUL WILLIAMS,Board Member,2018-01-22,2018-01-23,London,FSA Board Retreat ,,35.3,,175,,210.3
