Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
HEATHER HANCOCK LVO DL,Chairman,2019-01-07,2019-01-07,Skipton,Internal Meetings,,117.1,7.88,25,16,165.98,
HEATHER HANCOCK LVO DL,Chairman,2019-01-08,2019-01-08,,Internal Meetings,,,,155,,155,
HEATHER HANCOCK LVO DL,Chairman,2019-01-09,2019-01-09,,Internal Meetings,,41.5,,131.8,,173.3,
HEATHER HANCOCK LVO DL,Chairman,2019-01-10,2019-01-10,London,Internal Meetings,,,7.88,,,7.88,
HEATHER HANCOCK LVO DL,Chairman,2019-01-21,2019-01-24,London,Internal Meetings,149.87,1370,171.22,1804.12,12,3507.21,
HEATHER HANCOCK LVO DL,Chairman,2019-01-28,2019-01-30,London,Internal Meetings,0,274,15.76,313.48,12,615.24,
HEATHER HANCOCK LVO DL,Chairman,2019-02-25,2019-02-27,London,Internal Meetings,0,274,15.76,296.75,0,586.51,
HEATHER HANCOCK LVO DL,Chairman,2019-03-01,2019-03-01,,Membership of a Professional Body,,,,330,,330,
HEATHER HANCOCK LVO DL,Chairman,2019-03-05,2019-03-06,La Cote D'arbroz,External Conference,149.87,0,92.42,150.24,0,392.53,
HEATHER HANCOCK LVO DL,Chairman,2019-03-12,2019-03-14,London,Internal Meetings,0,274,15.76,274,0,563.76,
HEATHER HANCOCK LVO DL,Chairman,2019-03-19,2019-03-20,London,Internal Meetings,0,274,7.88,154.75,0,436.63,
HEATHER HANCOCK LVO DL,Chairman,2019-03-24,2019-03-28,London,Internal Meetings,0,274,7.88,595.95,0,877.83,
DAVID BROOKS,Board Member,2019-01-31,2019-01-31,London,Stakeholder Engagement,,13.5,,,,13.5,
DAVID BROOKS,Board Member,2019-03-12,2019-03-13,London,Internal Meetings,,13.5,,,,13.5,
ROSIE GLAZEBROOK,Board Member,2019-01-22,2019-01-22,London,Internal Meetings,,5.8,,,,5.8,
ROSIE GLAZEBROOK,Board Member,2019-03-12,2019-03-12,London,Internal Meetings,,,7,,,7,
ROSIE GLAZEBROOK,Board Member,2019-03-13,2019-03-13,London,Internal Meetings,,,2.9,,,2.9,
STEWART HOUSTON,Board Member,2019-01-21,2019-01-21,London,Internal Meetings,,29.7,13.95,,,43.65,
STEWART HOUSTON,Board Member,2019-01-22,2019-01-22,Northallerton,Internal Meetings,,62.7,22,135,,219.7,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-01-09,2019-01-10,,Internal Meetings,,64.95,,72.1,,137.05,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-01-21,2019-01-22,,Internal Meetings,,109.9,,92,,201.9,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-02-05,2019-02-05,London,External Conference,,214.5,,12,,226.5,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-02-21,2019-02-21,London,Internal Meetings,,125.25,,12,,137.25,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-03-12,2019-03-13,London,Internal Meetings,,214.5,,24,,238.5,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-01-07,2019-01-07,Belfast,Internal Meetings,,,5.4,,,5.4,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-01-21,2019-01-22,,Internal Meetings,206.21,,,92,,298.21,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-01-21,2019-01-22,London,Internal Meetings,,41.8,,,,41.8,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-02-21,2019-02-21,London,Internal Meetings,120.98,8.4,5.4,,,134.78,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2019-03-12,2019-03-13,London,Internal Meetings,138.21,41.8,,,,180.01,
MARY QUICKE,Board Member,2019-01-21,2019-01-22,,Internal Meetings,,84.45,,92,,176.45,
MARY QUICKE,Board Member,2019-01-29,2019-01-29,,Equipment for Board Work,,,,,14.48,14.48,
MARY QUICKE,Board Member,2019-02-21,2019-02-21,London,Internal Meetings,,84.45,,,,84.45,
MARY QUICKE,Board Member,2019-03-12,2019-03-13,London,Internal Meetings,,51.9,,,,51.9,
STUART REID,Board Member,2019-01-21,2019-01-22,,Internal Meetings,,,,92,,92,
PAUL WILLIAMS,Board Member,2019-01-21,2019-01-22,London,Internal Meetings,,,41.8,92,,133.8,
PAUL WILLIAMS,Board Member,2019-03-12,2019-03-13,London,Internal Meetings,,36.4,,,,36.4,
