Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
HEATHER HANCOCK LVO DL,Chairman,2020-01-07,2020-01-08,London,Internal Meetings,,282,15.76,166.74,8,472.5,
HEATHER HANCOCK LVO DL,Chairman,2020-01-13,2020-01-15,London,Internal Meetings,,282,27.76,667.6,,977.36,
HEATHER HANCOCK LVO DL,Chairman,2020-01-20,2020-01-21,London,FSA Board Meeting,,282,28.76,162.1,8,480.86,
HEATHER HANCOCK LVO DL,Chairman,2020-01-28,2020-01-29,London,Internal Meetings,,282,27.76,178.45,8,496.21,
HEATHER HANCOCK LVO DL,Chairman,2020-01-31,2020-01-31,,Annual Subscriptions to Publications,,,,,330,330,
HEATHER HANCOCK LVO DL,Chairman,2020-02-24,2020-02-27,London,External Conference,,282,39.36,,,321.36,
HEATHER HANCOCK LVO DL,Chairman,2020-03-09,2020-03-12,London,Internal Meetings,,282,31.76,,,313.76,
DAVID BROOKS,Board Member,2020-01-10,2020-01-10,London,Internal Meetings,,27.9,,,,27.9,
DAVID BROOKS,Board Member,2020-01-20,2020-01-20,London,FSA Board Meeting,,27.9,,82.5,,110.4,
DAVID BROOKS,Board Member,2020-02-19,2020-02-19,Maidenhead,Internal Meetings,,,5.4,5.8,,11.2,
DAVID BROOKS,Board Member,2020-03-10,2020-03-10,London,FSA Board Meeting,,27.9,,120.3,,148.2,
MARGARET GILMORE,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2020-01-20,2020-01-20,London,FSA Board Meeting,,,,82.5,,82.5,
MARGARET GILMORE,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2020-02-16,2020-02-16,London Gateway,Office / Site Visit,,,,105.4,,105.4,
MARGARET GILMORE,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2020-02-19,2020-02-19,Leicester,Office / Site Visit,,,,86,,86,
MARGARET GILMORE,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2020-03-10,2020-03-10,Cardiff,FSA Board Meeting,,,,120.3,,120.3,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2020-01-15,2020-01-15,Cardiff,Internal Meetings,,66.75,,,,66.75,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2020-01-20,2020-01-20,London,FSA Board Meeting,,192.89,,82.5,,275.39,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2020-02-26,2020-02-26,Newport,External Conference,,60.4,21.9,,,82.3,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2020-03-10,2020-03-10,London,FSA Board Meeting,,206.18,24,120.3,,350.48,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2020-05-15,2020-05-15,Belfast,Internal Meetings,,,5.4,,,5.4,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2020-01-20,2020-01-20,London,FSA Board Meeting,173.68,41.8,,82.5,,297.98,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2020-01-29,2020-01-29,Belfast,Internal Meetings,,,5.4,,,5.4,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2020-02-19,2020-02-20,Belfast,External Conference,,,10.8,,,10.8,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2020-03-02,2020-03-03,London,Internal Meetings,195.68,41.8,5.4,,,242.88,
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2020-03-10,2020-03-10,London,FSA Board Meeting,190.86,41.8,,120.3,,352.96,
MARK ROLFE,Board Member,2020-01-20,2020-01-21,London,FSA Board Meeting,,49.6,,82.5,,132.1,
MARK ROLFE,Board Member,2020-02-10,2020-02-10,Guildford,Office / Site Visit,,,44.1,,,44.1,
MARK ROLFE,Board Member,2020-02-17,2020-02-17,London Gateway,Office / Site Visit,,,27,,,27,
MARK ROLFE,Board Member,2020-02-20,2020-02-20,Leicester,Office / Site Visit,,93,,,,93,
MARK ROLFE,Board Member,2020-02-24,2020-02-24,London,Internal Meetings,,15.2,,,,15.2,
MARK ROLFE,Board Member,2020-03-10,2020-03-11,London,FSA Board Meeting,,43.8,,120.3,,164.1,
MARY QUICKE,Board Member,2020-01-21,2020-01-21,London,FSA Board Meeting,,66.22,5.5,82.5,4.8,159.02,
MARY QUICKE,Board Member,2020-03-03,2020-03-03,London,Internal Meetings,,140.15,4.95,,,145.1,
MARY QUICKE,Board Member,2020-03-10,2020-03-10,London,FSA Board Meeting,,134.65,4.95,120.3,,259.9,
STUART REID,Board Member,2020-01-20,2020-01-21,London,FSA Board Meeting,,,,82.5,,82.5,
STUART REID,Board Member,2020-03-10,2020-01-21,London,FSA Board Meeting,,,,120.3,,120.3,
TIMOTHY RILEY,Board Member,2020-01-20,2020-01-21,London,FSA Board Meeting,,280.12,,82.5,,362.62,
TIMOTHY RILEY,Board Member,2020-02-09,2020-02-10,Guildford,Office / Site Visit,,,44.1,70,,114.1,
TIMOTHY RILEY,Board Member,2020-02-16,2020-02-17,London Gateway,Office / Site Visit,,,27,102,,129,
TIMOTHY RILEY,Board Member,2020-02-20,2020-02-20,Leicester,Office / Site Visit,,93,,,,93,
TIMOTHY RILEY,Board Member,2020-02-24,2020-02-24,London,Internal Meetings,,15.2,,,,15.2,
TIMOTHY RILEY,Board Member,2020-03-03,2020-03-03,London,Internal Meetings,,242.9,,,,242.9,
TIMOTHY RILEY,Board Member,2020-03-10,2020-03-11,London,FSA Board Meeting,,290,,120.3,,410.3,
