Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Heather Hancock LVO,Chairman,2016-07-04,2016-07-05,London,Stakeholder Event / Official Meetings,,,99.9,50,,149.9,
Heather Hancock LVO,Chairman,2016-07-12,2016-07-13,London,FSA Board Meeting,136.21,,44.1,36.12,47.98,264.41,
Heather Hancock LVO,Chairman,2016-07-18,2016-07-20,London,Official Meetings,,179.5,15.76,244,,439.26,
Heather Hancock LVO,Chairman,2016-07-27,2016-07-28,Tetbury,Stakeholder Visit,,,201.6,110,,311.6,
Heather Hancock LVO,Chairman,2016-08-01,2016-08-03,London,Official Meetings,,67.5,25.76,259.4,14,366.66,
Heather Hancock LVO,Chairman,2016-08-08,2016-08-08,Preston,Stakeholder Visit,,,49.95,,30.26,80.21,
Heather Hancock LVO,Chairman,2016-08-09,2016-08-09,Ossett / Leeds,Stakeholder Visit,,,63.15,,16,79.15,
Heather Hancock LVO,Chairman,2016-08-10,2016-08-10,Keighley,Stakeholder Visit,,,18.72,,,18.72,
Heather Hancock LVO,Chairman,2016-08-23,2016-08-25,Camelford / Newquay,Stakeholder Visit,169.82,,156.82,246.8,,573.44,
Heather Hancock LVO,Chairman,2016-08-31,2016-08-31,York,Official Meetings,,24.4,15.76,,,40.16,
Heather Hancock LVO,Chairman,2016-09-05,2016-09-06,London,Official Meetings,,257.5,27.76,34.65,,319.91,
Heather Hancock LVO,Chairman,2016-09-12,2016-09-13,Dublin / London,Stakeholder Event / Meeting,84.48,121.8,31.44,100.45,,338.17,
Heather Hancock LVO,Chairman,2016-09-13,2016-09-14,London / Birmingham,Official Meetings,,73.1,19.88,117.24,26,236.22,
Heather Hancock LVO,Chairman,2016-09-19,2016-09-22,London,FSA Board Meeting / Stakeholder Event / Official Meetings,,67.5,58.76,431.3,,557.56,
Heather Hancock LVO,Chairman,2016-09-26,2016-09-26,London,Official Meetings / Stakeholder Event,,139,15.76,1.95,,156.71,
Heather Hancock LVO,Chairman,2016-09-27,2016-09-29,London,Official Meetings,,186,15.76,189.4,23.25,414.41,
Tim Bennett,Deputy Chair,2016-07-04,2016-07-05,London,Stakeholder Event / Official Meetings,,4.8,30.3,123.2,,158.3,
Tim Bennett,Deputy Chair,2016-07-07,2016-07-07,Cardiff,Advisory Committee Meeting,,7,27.3,,,34.3,
Tim Bennett,Deputy Chair,2016-07-11,2016-07-13,London,FSA Board Meeting,,71.45,33.3,237,,341.75,
Tim Bennett,Deputy Chair,2016-07-16,2016-07-16,,Annual subscription,,,,,70,70,
Tim Bennett,Deputy Chair,2016-07-25,2016-07-25,Cardiff,Stakeholder Meeting,,,60.4,,,60.4,
Tim Bennett,Deputy Chair,2016-08-02,2016-08-03,London,Official Meetings,,71.45,33.1,123.3,,227.85,
Tim Bennett,Deputy Chair,2016-08-31,2016-09-01,London,Official Meetings,,71.45,33.1,126.29,,230.84,
Tim Bennett,Deputy Chair,2016-09-06,2016-09-08,London,Official Meetings / Stakeholder Events,,71.45,37.5,368.5,,477.45,
Tim Bennett,Deputy Chair,2016-09-12,2016-09-13,London,Official Meetings,,71.45,33.1,126.6,,231.15,
Tim Bennett,Deputy Chair,2016-09-19,2016-09-22,London,FSA Board Meeting / Official Meetings,,69.05,44.75,362,,475.8,
David Brooks,Board Member,2016-07-05,2016-07-05,York,Official Meetings,,66.7,,,,66.7,
David Brooks,Board Member,2016-07-12,2016-07-13,London,FSA Board Meeting,,75.7,10,,,85.7,
David Brooks,Board Member,2016-07-26,2016-07-26,London,Stakeholder Visit,,19.9,,,,19.9,
David Brooks,Board Member,2016-08-17,2016-08-17,London,Official Meetings,,16.3,,,,16.3,
David Brooks,Board Member,2016-09-20,2016-09-21,London,FSA Board Meeting,,46,,,,46,
Dr Henrietta Campbell,Board Member and Chair of Northern Ireland Food Advisory Committee (term ended August 2016),2016-07-12,2016-07-14,London,FSA Board Meeting,208.8,36,,286,,530.8,
Ram Gidoomal,Board Member and Chair of Northern Ireland Food Advisory Committee (term ended August 2016),2016-07-13,2016-07-14,London,FSA Board Meeting,,,,143,,143,
Ram Gidoomal,Board Member and Chair of Northern Ireland Food Advisory Committee (term ended August 2016),2016-09-20,2016-09-21,London,FSA Board Meeting,,,,178.8,,178.8,
Ram Gidoomal,Board Member and Chair of Northern Ireland Food Advisory Committee (term ended August 2016),2016-09-20,2016-09-20,London,Oyster Card Top-up,,20,,,,20,
Rosie Glazebrook,Board Member,2016-07-12,2016-07-13,London,FSA Board Meeting,,29.7,22,,,51.7,
Rosie Glazebrook,Board Member,2016-09-15,2016-09-15,Luton,Stakeholder Visit,,33.3,3.5,,,36.8,
Rosie Glazebrook,Board Member,2016-09-20,2016-09-21,London,FSA Board Meeting,,10.7,26,,,36.7,
Rosie Glazebrook,Board Member,2016-09-27,2016-09-27,Hatton Cross,Stakeholder Visit,,,3,,,3,
Rosie Glazebrook,Board Member,2016-09-29,2016-09-29,Bedford,Stakeholder Visit,,,54,,,54,
Stewart Houston,Board Member,2016-07-05,2016-07-05,York,Official Meetings,,77.6,32.95,,,110.55,
Stewart Houston,Board Member,2016-07-11,2016-07-13,London,FSA Board Meeting,,133.6,59.15,289,,481.75,
Stewart Houston,Board Member,2016-07-25,2016-07-25,Swaffham,Stakeholder Visit,,,47.7,,,47.7,
Stewart Houston,Board Member,2016-07-25,2016-07-26,London,Stakeholder Visit,,22.05,,159,,181.05,
Stewart Houston,Board Member,2016-08-08,2016-08-08,Preston,Stakeholder Visit,,,75.6,,,75.6,
Stewart Houston,Board Member,2016-08-22,2016-08-23,London,Official Meetings,,98.3,25.2,159,,282.5,
Stewart Houston,Board Member,2016-09-19,2016-09-21,London,FSA Board Meeting,,111.7,73,293,,477.7,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-08-08,2016-08-08,Preston,Official Meeting,,,39.6,,,39.6,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-08-15,2016-08-15,Cardiff,Official Meetings,,59.65,1.44,,,61.09,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-09-01,2016-09-01,London,Official Meetings,,205.9,17.5,4.7,,228.1,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-09-12,2016-09-12,York,Official Meetings,,28.9,6.55,,,35.45,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-09-14,2016-09-14,Cardiff,Advisory Committee Meeting,,59.65,,67.6,,127.25,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-09-20,2016-09-21,London,FSA Board Meeting,,,94.4,183.05,,277.45,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-09-21,2016-09-22,Cardiff,Stakeholder Visit,,72.6,4.3,85.6,,162.5,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-09-27,2016-09-27,London,Stakeholder Visit,,217.7,10,,,227.7,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee (term started September 2016),2016-09-01,2016-09-01,London,Official Meetings,78.63,35.9,29.6,,,144.13,
