Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP
HEATHER HANCOCK LVO DL,Chairman,2018-07-02,2018-07-04,London, Internal Meetings,,262,28.2,323.95,,614.15
HEATHER HANCOCK LVO DL,Chairman,2018-07-04,2018-07-04,London,Oyster Card Top-Up,,20,,,,20
HEATHER HANCOCK LVO DL,Chairman,2018-07-09,2018-07-11,London, Internal Meetings,,262,28.2,311,,601.2
HEATHER HANCOCK LVO DL,Chairman,2018-08-07,2018-08-08,London, Internal Meetings,,262,8.1,180,,450.1
HEATHER HANCOCK LVO DL,Chairman,2018-08-13,2018-08-15,London, Internal Meetings,,262,28.2,307,,597.2
HEATHER HANCOCK LVO DL,Chairman,2018-08-17,2018-08-17,London,Oyster Card Top-Up,,20,,,,20
HEATHER HANCOCK LVO DL,Chairman,2018-08-21,2018-08-22,London, Internal Meetings,,262,24.2,133.1,,419.3
HEATHER HANCOCK LVO DL,Chairman,2018-09-03,2018-09-04,Belfast,External Conference,202.54,,73.6,135,,411.14
HEATHER HANCOCK LVO DL,Chairman,2018-09-10,2018-09-12,London, Internal Meetings,,262,28.2,286.1,,576.3
HEATHER HANCOCK LVO DL,Chairman,2018-09-16,2018-09-20,London / Cardiff,FSA Board Meeting,,370.5,54.4,407.45,,832.35
HEATHER HANCOCK LVO DL,Chairman,2018-09-24,2018-09-27,London, Internal Meetings,,316.7,33,246.35,,596.05
LAURA SANDYS,Deputy Chair,2018-09-18,2018-09-19,Cardiff,FSA Board Meeting,,,,99,,99
DAVID BROOKS,Board Member,2018-07-13,2018-07-13,London, Internal Meetings,,18.1,,,,18.1
DAVID BROOKS,Board Member,2018-08-13,2018-08-14,Edinburgh,Inter-governmental meeting,196.74,15.7,,,,212.44
DAVID BROOKS,Board Member,2019-09-03,2018-09-03,Cadiff,FSA Board Meeting,,75.6,,,,75.6
ROSIE GLAZEBROOK,Board Member,2018-09-17,2018-09-19,London / Cardiff ,FSA Board Meeting,,106,15.9,198,,319.9
ROSIE GLAZEBROOK,Board Member,2018-10-15,2018-10-16,Edinburgh , Internal Meetings,,161.2,,,,161.2
STEWART HOUSTON,Board Member,2018-09-17,2018-09-19,Cardiff ,FSA Board Meeting,,178.25,28.8,198,,405.05
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2018-08-15,2018-08-15,Cardiff, Internal Meetings,,,,77.1,,77.1
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2018-07-30,2018-07-30,Belfast , Internal Meetings,,,5.4,,,5.4
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2018-09-11,2018-09-11,Belfast , Internal Meetings,,,5.4,,,5.4
COLM MCKENNA,Board Member for Northern Ireland and Chair of Northern Ireland Food Advisory Committee,2018-09-17,2018-09-19,Cardiff,FSA Board Meeting,85.98,,31,198,,314.98
MARY QUICKE,Board Member,2018-09-12,2018-09-12,London, Internal Meetings,,169.45,,,,169.45
STUART REID,Board Member,2018-09-17,2018-09-19,Cardiff,FSA Board Meeting,,,,198,,198
PAUL WILLIAMS,Board Member,2018-09-17,2018-09-19,Cardiff,FSA Board Meeting,,,86.35,198,,284.35
