Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-07-01,2019-07-03,London, Internal Meetings,,130.33,15.76,257.6,16,419.69,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-07-08,2019-07-10,London, Internal Meetings,,531,50.56,143.5,8,733.06,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-07-16,2019-07-19,London, Internal Meetings,,274,23.63,446.2,,743.83,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-08-19,2019-08-20,London, Internal Meetings,,204.5,15.76,162,,382.26,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-09-09,2019-09-12,London, Internal Meetings,,298,15.76,468.6,,782.36,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-09-16,2019-09-20,Belfast,FSA Board Meeting,182.52,,100.6,53.82,,336.94,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-09-24,2019-09-26,London, Internal Meetings,,294,24.76,41.9,,360.66,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-09-25,2019-09-26,London, Internal Meetings,,12,24.76,315.14,,351.9,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-09-30,2019-09-30,London, Internal Meetings,,294,7.88,24.25,,326.13,
DAVID BROOKS,Board Member,2019-08-14,2019-08-14,London,External Conference,,18.5,,,,18.5,
DAVID BROOKS,Board Member,2019-09-17,2019-09-20,Belfast,FSA Board Meeting,185.76,,70,,,255.76,
DAVID BROOKS,Board Member,2019-09-24,2019-09-24,Liverpool,External Conference,,280.2,,,,280.2,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-07-09,2010-07-09,Cardiff,External Conference,,66.2,,75,,141.2,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-09-10,2019-09-10,London, Internal Meetings,,214.5,,,,214.5,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-09-19,2019-09-20,Belfast,FSA Board Meeting,72.61,,45.7,,12,130.31,
MARY QUICKE,Board Member,2019-08-24,2019-08-24,,N/A,,,,,35,35,
MARY QUICKE,Board Member,2019-09-10,2019-09-10,London, Internal Meetings,,121.15,,,4.3,125.45,
MARY QUICKE,Board Member,2019-09-17,2019-09-20,Belfast,FSA Board Meeting,46.42,,100.9,,81,228.32,
STUART REID,Board Member,2019-09-17,2019-09-20,Belfast,FSA Board Meeting,78.69,19.9,,42.15,,140.74,
