Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
HEATHER HANCOCK LVO,Chairman,2017-10-02,2017-10-05,London ,Official Meetings ,,230.2,32.5,283.25,,545.95,
HEATHER HANCOCK LVO,Chairman,2017-10-07,2017-10-07,London ,Oyster Card Top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman,2017-10-09,2017-10-10,London ,Official Meetings ,,,178.76,160.35,14,353.11,
HEATHER HANCOCK LVO,Chairman,2017-10-16,2017-10-19,London ,Official Meetings ,,242.8,46.78,16.5,25.98,332.06,
HEATHER HANCOCK LVO,Chairman,2017-10-20,2017-10-20,London ,Oyster Card Top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman,2017-10-23,2017-10-26,London ,Official Meetings ,,190,31.76,167.59,11,400.35,
HEATHER HANCOCK LVO,Chairman,2017-10-27,2017-10-27,London ,Oyster Card Top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman,2017-10-30,2017-10-30,London ,Official Meetings ,,255,29.88,123,,407.88,
HEATHER HANCOCK LVO,Chairman,2017-10-31,2017-11-01,London / Weymouth,Official Meetings / Stakeholder meetings,,63.4,24.3,61.84,,149.54,
HEATHER HANCOCK LVO,Chairman,2017-11-13,2017-11-15,London,Official Meetings ,,255,68.76,260.8,,584.56,
HEATHER HANCOCK LVO,Chairman,2017-11-16,2017-11-16,London ,Oyster Card Top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman,2017-11-21,2017-11-23,London,Official Meetings ,,182.8,15.76,296,,494.56,
HEATHER HANCOCK LVO,Chairman,2017-11-29,2017-11-30,London / Bolton,Official Meetings / Stakeholder Meetings,,255,74.23,144.05,,473.28,
HEATHER HANCOCK LVO,Chairman,2017-12-01,2017-12-01,London ,Oyster Card Top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman,2017-12-04,2017-12-07,London,Official Meetings,,190,15.76,312.7,,518.46,
HEATHER HANCOCK LVO,Chairman,2017-12-11,2017-12-13,London,Official Meetings ,,255,57.06,307.05,,619.11,
LAURA SANDYS,Deputy Chairman,2017-11-15,2017-11-15,York,Internal Meeting,,200.5,,,,200.5,
LAURA SANDYS,Deputy Chairman,2017-11-29,2017-11-30,Belfast / Cardiff,Internal Meeting,101.53,114,,98.35,,313.88,
DAVID BROOKS,Board Member,2017-10-17,2017-10-17,London,FSA Board Retreat,,30.2,,,,30.2,
DAVID BROOKS,Board Member,2017-10-24,2017-10-24,London,FSA Parliamentary Reception,,17.3,,,,17.3,
DAVID BROOKS,Board Member,2017-12-05,2017-12-06,London,FSA Board Meeting,,25.4,,125.2,,150.6,
RAM GIDOOMAL,Board Member,2017-12-05,2017-12-06,London,FSA Board Meeting,,,,125.2,,125.2,
ROSIE GLAZEBROOK,Board Member,2017-10-17,2017-10-17,London,FSA Board Retreat,,5.3,,,,5.3,
ROSIE GLAZEBROOK,Board Member,2017-10-24,2017-10-24,London,FSA Parliamentary Reception,,5.3,,,,5.3,
ROSIE GLAZEBROOK,Board Member,2017-11-02,2017-11-02,London,Stakeholder Meeting,,1.3,,,,1.3,
ROSIE GLAZEBROOK,Board Member,2017-12-04,2017-12-04,London,Internal Meeting,,5.3,,,,5.3,
ROSIE GLAZEBROOK,Board Member,2017-12-05,2017-12-06,London,FSA Board Meeting,,7.1,,,,7.1,
STEWART HOUSTON,Board Member,2017-10-02,2017-10-03,Leeds,FSA Management Conference,,21.15,16.2,,,37.35,
STEWART HOUSTON,Board Member,2017-10-17,2017-10-17,London,FSA Board Retreat,,,76.1,,,76.1,
STEWART HOUSTON,Board Member,2017-10-23,2017-10-24,London,FSA Parliamentary Reception,,76.55,27.9,160,,264.45,
