Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP
HEATHER HANCOCK LVO DL,Chairman,2018-10-01,2018-10-03,London, Internal Meetings,,271,28.2,270,,569.2
HEATHER HANCOCK LVO DL,Chairman,2018-10-05,2018-10-05,London,Oyster Card Top-Up,,20,,,,20
HEATHER HANCOCK LVO DL,Chairman,2018-10-08,2018-10-10,London / Dovecote Park, Internal Meetings,,271,43.2,180.3,,494.5
HEATHER HANCOCK LVO DL,Chairman,2018-10-12,2018-10-12,London,Oyster Card Top-Up,,20,,,,20
HEATHER HANCOCK LVO DL,Chairman,2018-10-16,2018-10-17,Edinburgh,FSA Board Meeting,,66.65,44.2,103,,213.85
HEATHER HANCOCK LVO DL,Chairman,2018-10-22,2018-10-24,London, Internal Meetings,,271,28.2,286,,585.2
HEATHER HANCOCK LVO DL,Chairman,2018-11-05,2018-11-06,London, Internal Meetings,,271,16.2,180.5,,467.7
HEATHER HANCOCK LVO DL,Chairman,2018-11-12,2018-11-14,London, Internal Meetings,,271,41.2,256,,568.2
HEATHER HANCOCK LVO DL,Chairman,2018-11-16,2018-11-16,London,Oyster Card Top-Up,,20,,,,20
HEATHER HANCOCK LVO DL,Chairman,2018-11-19,2018-11-22,London / Manchester,FSA Management Conference,,456.4,49.6,177,,683
HEATHER HANCOCK LVO DL,Chairman,2018-11-24,2018-11-24,London,Oyster Card Top-Up,,20,,,,20
HEATHER HANCOCK LVO DL,Chairman,2018-11-27,2018-11-28,London, Internal Meetings,,271,16.2,149.8,,437
HEATHER HANCOCK LVO DL,Chairman,2018-12-03,2018-12-05,London,FSA Board Meeting,,271,28.2,312,,611.2
HEATHER HANCOCK LVO DL,Chairman,2018-12-10,2018-12-13,London, Internal Meetings,,271,28.2,324.79,,623.99
HEATHER HANCOCK LVO DL,Chairman,2018-12-12,2018-12-12,London,Oyster Card Top-Up,,20,,,,20
HEATHER HANCOCK LVO DL,Chairman,2018-12-17,2018-12-18,London, Internal Meetings,,271,24.2,158.2,,453.4
DAVID BROOKS,Board Member,2018-10-16,2018-10-17,Edinburgh,FSA Board Meeting,111.29,66.7,75.3,103,,356.29
DAVID BROOKS,Board Member,2018-11-05,2018-11-05,London, Internal Meetings,,13.1,,,,13.1
DAVID BROOKS,Board Member,2018-12-04,2018-12-05,London,FSA Board Meeting,,37.3,,238,,275.3
ROSIE GLAZEBROOK,Board Member,2018-10-16,2018-10-17,Edinburgh,FSA Board Meeting,,144.4,16.8,103,,264.2
ROSIE GLAZEBROOK,Board Member,2019-10-23,2018-10-23,London,Stakeholder Engagement,,21.7,,,,21.7
ROSIE GLAZEBROOK,Board Member,2018-11-05,2018-11-05,London, Internal Meetings,,,5.3,,,5.3
ROSIE GLAZEBROOK,Board Member,2018-12-05,2018-12-05,London, Internal Meetings,,,10.1,,,10.1
STEWART HOUSTON,Board Member,2018-10-16,2018-10-17,Edinburgh ,FSA Board Meeting,,69,37,103,,209
STEWART HOUSTON,Board Member,2018-12-03,2018-12-05,London,FSA Board Meeting,,102.95,54.05,368,,525
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2018-10-10,2018-10-11,Cardiff, Internal Meetings,,62.95,24,89.7,,176.65
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2018-10-16,2018-10-17,Edinburgh,FSA Board Meeting,91.94,49.13,9,103,,253.07
