Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP
Jason Feeney,Chief Executive,2018-04-09,2018-04-11,London , Internal Meetings,,254,37.6,312.05,,603.65
Jason Feeney,Chief Executive,2018-04-17,2018-04-18,London / Birmingham, Internal Meetings,,285.4,46.9,124.6,,456.9
Jason Feeney,Chief Executive,2018-04-23,2018-04-25,London, Internal Meetings,,254,71.9,303.17,,629.07
Jason Feeney,Chief Executive,2018-04-30,2018-04-30,London, Internal Meetings,,254,39.1,5,,298.1
Jason Feeney,Chief Executive,2018-05-01,2018-05-01,Sheffield, Internal Meetings,,22.6,37.8,5,,65.4
Jason Feeney,Chief Executive,2018-05-02,2018-05-02,Birmingham,Executive Management Team Meeting,,71.2,18.5,4.3,,94
Jason Feeney,Chief Executive,2018-05-02,2018-05-05,Berlin,External Conference,225.64,,62.37,274.1,,562.11
Jason Feeney,Chief Executive,2018-05-08,2018-05-09,London, Internal Meetings,,254,37.6,162.57,,454.17
Jason Feeney,Chief Executive,2018-05-21,2018-05-22,London / Belfast,Executive Management Team Meeting,126.54,127,11,101.84,,366.38
Jason Feeney,Chief Executive,2018-05-29,2018-05-29,London, Internal Meetings,,133.65,36.1,6.24,,175.99
Jason Feeney,Chief Executive,2018-05-29,2018-05-30,Edinburgh,Inter-governmental meeting,80.12,,24.9,245.7,,350.72
Jason Feeney,Chief Executive,2019-06-04,2018-06-07,London, Internal Meetings,,156,72.82,521.75,,750.57
Jason Feeney,Chief Executive,2018-06-11,2018-06-13,London / West Malling,External Conference,,263.5,68.12,323.83,,655.45
Jason Feeney,Chief Executive,2018-06-15,2018-06-15,Hull,Office / Site Visit,,,21.82,,,21.82
Jason Feeney,Chief Executive,2018-06-18,2018-06-18,London, Internal Meetings,,254,,,,254
Jason Feeney,Chief Executive,2018-06-19,2018-06-20,Malton / York,FSA Board Meeting,,15,18.3,115,,148.3
Jason Feeney,Chief Executive,2018-06-22,2018-06-22,London,Inter-governmental meeting,,254,45.3,4.09,,303.39
Jason Feeney,Chief Executive,2018-06-25,2018-06-26,London, Internal Meetings,,266.7,38.6,186.74,,492.04
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-04-16,2018-04-16,London, Internal Meetings,,,10,,,10
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-04-19,2018-04-19,London,Stakeholder Engagement,,,,140.5,,140.5
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-04-25,2018-04-26,Brussels,Inter-governmental meeting,,119,,301.19,95.5,515.69
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-04-30,2018-04-30,London,Stakeholder Engagement,,,,,143.21,143.21
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-05-02,2018-05-04,Berlin,Inter-governmental meeting,155.34,4.8,,565.48,,725.62
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-05-21,2018-05-22,Belfast,Executive Management Team Meeting,135.15,25,126.68,114.45,,401.28
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-06-07,2018-06-07,London,Stakeholder Engagement,,,,127,,127
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-06-12,2018-06-12,London,Stakeholder Engagement,,,,,140.4,140.4
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-06-18,2018-06-20,Barnsley / York,FSA Board Retreat,,87,,189,,276
CHRIS HITCHEN, Director of Finance & Performance,2018-04-10,2018-04-10,London,Executive Management Team Meeting,,255,29.2,17.79,,301.99
CHRIS HITCHEN, Director of Finance & Performance,2018-04-17,2018-04-17,London,Executive Management Team Meeting,,255,33.9,11.89,,300.79
CHRIS HITCHEN, Director of Finance & Performance,2018-04-23,2018-04-24,London,Executive Management Team Meeting,,255,17.9,158.94,,431.84
CHRIS HITCHEN, Director of Finance & Performance,2018-04-26,2018-04-26,London, Internal Meetings,,255,29.6,12.69,,297.29
CHRIS HITCHEN, Director of Finance & Performance,2018-04-28,2018-04-28,London,Oyster Card Top-Up,,20,,,,20
CHRIS HITCHEN, Director of Finance & Performance,2018-05-02,2018-05-02,Birmingham,Executive Management Team Meeting,,133.8,28.5,5.64,,167.94
CHRIS HITCHEN, Director of Finance & Performance,2018-05-14,2018-08-15,London,Executive Management Team Meeting,,255,27.9,186.77,,469.67
CHRIS HITCHEN, Director of Finance & Performance,2018-05-16,2018-05-16,London, Internal Meetings,,255,31.7,12.35,,299.05
CHRIS HITCHEN, Director of Finance & Performance,2018-05-21,2018-05-22,Belfast,Executive Management Team Meeting,126.54,,57.2,115.64,,299.38
CHRIS HITCHEN, Director of Finance & Performance,2018-06-05,2018-06-06,London,Executive Management Team Meeting,,255,28.8,199.65,,483.45
CHRIS HITCHEN, Director of Finance & Performance,2018-06-12,2018-06-12,London, Internal Meetings,,255,,38.4,,293.4
CHRIS HITCHEN, Director of Finance & Performance,2018-06-14,2018-06-14,London,Oyster Card Top-Up,,20,,,,20
CHRIS HITCHEN, Director of Finance & Performance,2018-06-19,2018-06-20,York,FSA Board Retreat,,16.4,2.5,134,,152.9
CHRIS HITCHEN, Director of Finance & Performance,2018-06-25,2018-06-26,London,Executive Management Team Meeting,,182,29.4,142.23,,353.63
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-04-10,2018-04-11,London, Internal Meetings,315.13,37,49.65,170.2,,571.98
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-04-17,2018-04-18,York, Internal Meetings,105.54,,102.7,99.65,,307.89
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-04-19,2018-04-19,Holywood,Stakeholder Engagement,,,31.5,,,31.5
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-04-24,2018-04-25,London,Executive Management Team Meeting,351.13,37,47.65,223.59,,659.37
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-04-26,2018-04-26,Belfast,Stakeholder Engagement,,,7.5,,,7.5
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-05-01,2018-05-02,Birmingham,Executive Management Team Meeting,111.15,7.6,47.65,111.9,,278.3
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-05-08,2018-05-09,London, Internal Meetings,564.13,37,47.65,159,,807.78
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-05-14,2018-05-14,Dublin,Inter-governmental meeting,,22.5,,,,22.5
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-05-16,2018-05-17,York, Internal Meetings,154.54,,147.65,276.26,,578.45
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-05-18,2018-05-18,Lisburn,Stakeholder Engagement,,,8,,,8
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-05-21,2018-05-21,Coleraine,Office / Site Visit,,,53.7,,,53.7
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-05-22,2018-05-22,Belfast,Executive Management Team Meeting,,,,,213.45,213.45
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-05-30,2018-05-30,Belfast,External Conference,,,12,,,12
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-06-05,2018-06-06,London,Senior Leadership Team Meeting,430.95,,47.95,223.53,,702.43
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-06-07,2018-06-07,Belfast,Inter-governmental meeting,,,7.5,,,7.5
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-06-12,2018-06-12,London, Internal Meetings,337.13,37,37.95,13.04,,425.12
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-06-19,2018-06-20,York,FSA Board Meeting,200.54,95,102.95,115,,513.49
