Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Jason Feeney,Chief Executive,2019-04-01,2019-04-07,London, Internal Meetings,,,,21.25,,21.25,
Jason Feeney,Chief Executive,2019-04-08,2019-04-14,London, Internal Meetings,,,,79.9,,79.9,
Jason Feeney,Chief Executive,2019-04-15,2019-04-21,London, Internal Meetings,,,,42.03,,42.03,
Jason Feeney,Chief Executive,2019-04-29,2019-05-05,London / Birmingham / Aberdeen,Executive Management Team Meeting,,3.9,20,41.83,,65.73,
Jason Feeney,Chief Executive,2019-05-13,2019-05-19,London / Cardiff, Internal Meetings,,132.5,,57,,189.5,
Jason Feeney,Chief Executive,2019-05-20,2019-05-26,London, Internal Meetings,,37,,17.58,,54.58,
Jason Feeney,Chief Executive,2019-05-27,2019-06-02,London / Peterbrough ,Office / Site Visit,,,8,39.98,,47.98,
Jason Feeney,Chief Executive,2019-06-10,2019-06-16,London,Office / Site Visit,,,,47.11,,47.11,
Jason Feeney,Chief Executive,2019-06-24,2019-06-30,London , Internal Meetings,,,,41.52,,41.52,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-04-29,2019-04-30,Birmingham, Internal Meetings,,36,,97,,133,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-05-20,2019-05-21,Belfast, Internal Meetings,126.63,,,,,126.63,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-05-20,2019-05-20,Belfast, Internal Meetings,119.31,,,,,119.31,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-05-21,2019-05-21,Belfast, Internal Meetings,158.32,,,,,158.32,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-05-20,2019-05-21,Belfast, Internal Meetings,,,16.06,,,16.06,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-05-29,2019-05-30,Aberdeen, Internal Meetings,153.3,,,59.5,,212.8,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-05-23,2019-05-23,York, Internal Meetings,,271,,,,271,
CHRIS HITCHEN, Director of Finance & Performance,2019-04-02,2019-04-03,London, Internal Meetings,,265,29.2,222.63,,516.83,
CHRIS HITCHEN, Director of Finance & Performance,2019-04-09,2019-04-09,London, Internal Meetings,,265,30.8,9.54,,305.34,
CHRIS HITCHEN, Director of Finance & Performance,2019-04-15,2019-04-16,London,Executive Management Team Meeting,,265,,181.34,,446.34,
CHRIS HITCHEN, Director of Finance & Performance,2019-04-29,2019-05-01,London/Birmingham/London,Executive Management Team Meeting,,409.7,20.3,472.19,,902.19,
CHRIS HITCHEN, Director of Finance & Performance,2019-05-02,2019-05-02,London,Inter-governmental meeting,,265,31.8,10,,306.8,
CHRIS HITCHEN, Director of Finance & Performance,2019-05-08,2019-05-08,London,FSA Board Meeting,,265,30,6.34,,301.34,
CHRIS HITCHEN, Director of Finance & Performance,2019-05-14,2019-05-14,London,Executive Management Team Meeting,,265,29.6,10,,304.6,
CHRIS HITCHEN, Director of Finance & Performance,2019-05-20,2019-05-22,Belfast/London,FSA Board Meeting,112.19,164.7,30,585.6,,892.49,
CHRIS HITCHEN, Director of Finance & Performance,2019-06-03,2019-06-04,London,Executive Management Team Meeting,,266,16.2,183,,465.2,
CHRIS HITCHEN, Director of Finance & Performance,2019-06-12,2019-06-12,London, Internal Meetings,,265,35.9,10,,310.9,
CHRIS HITCHEN, Director of Finance & Performance,2019-06-18,2019-06-19,Birmingham,FSA Board Meeting,,129.2,33.54,302.01,,464.75,
CHRIS HITCHEN, Director of Finance & Performance,2019-06-25,2019-06-26,London,Executive Management Team Meeting,,265,18.4,381.23,,664.63,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-04-01,2019-04-02,London, Internal Meetings,291.26,,2.7,315.04,,609,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-04-05,2019-04-05,Enniskillen,Stakeholder Engagement,,,97,,,97,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-04-09,2019-04-09,London, Internal Meetings,526.76,37,2.7,4.48,35.99,606.93,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-04-11,2019-04-11,Bangor,Stakeholder Engagement,,,6.3,,,6.3,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-04-15,2019-04-15,Belfast,Office / Site Visit,,,1.65,,4.5,6.15,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-04-29,2019-04-30,Birmingham,Executive Management Team Meeting,89.32,40.9,8.3,293.15,120.14,551.81,Evening meal x 2 included
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-05-01,2019-05-01,London, Internal Meetings,57.44,25,,,,82.44,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-05-07,2019-05-08,London, Internal Meetings,337.76,11,53.85,168.6,-48.99,522.22,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-05-15,2019-05-15,Derry,Office / Site Visit,,,52.2,,1.5,53.7,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-05-17,2019-05-17,Lisburn,Stakeholder Engagement,,,12.15,,8,20.15,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-05-20,2019-05-21,Belfast,Executive Management Team Meeting,,,,109,,109,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-05-23,2019-05-23,Belfast,Stakeholder Engagement,,,,,7.5,7.5,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-05-28,2019-05-29,London, Internal Meetings,,37,2.7,167.34,48.99,256.03,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-06-10,2019-06-11,London, Internal Meetings,153.63,,2.7,162.18,51.15,369.66,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-06-17,2019-06-19,Birmingham,FSA Board Meeting,302.51,58.5,2.7,141.4,60.19,565.3,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-04-04,2019-04-04,London, Internal Meetings,,110,4.8,,,114.8,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-04-09,2019-04-10,London, Internal Meetings,,96,4.8,147,,247.8,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-04-16,2019-04-17,London, Internal Meetings,,150.5,4.8,157.5,,312.8,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-04-22,2019-04-24,Geneva,Stakeholder Engagement,,94.81,40.25,364.75,,499.81,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-04-29,2019-04-30,Birmingham,Executive Management Team Meeting,,90.15,7,100.3,,197.45,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-05-07,2019-05-08,London, Internal Meetings,,116,26.78,155.85,,298.63,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-05-14,2010-05-17,London, Internal Meetings,,179.5,40,212.25,,431.75,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-05-20,2019-05-21,Belfast,Executive Management Team Meeting,,,104.7,13.99,,118.69,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-05-22,2019-05-23,London,Stakeholder Engagement,,150.5,16.2,212.5,,379.2,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-05-29,2019-05-30,London, Internal Meetings,,88,22.8,157,,267.8,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-06-03,2019-06-03,Birmingham,Staff Event,,121.6,7,,,128.6,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-06-04,2019-06-05,London, Internal Meetings,,88,14.4,176,,278.4,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-06-11,2019-06-11,London, Internal Meetings,,46.5,2.4,367.95,,416.85,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-06-12,2019-06-12,Cambridge,Stakeholder Engagement,,38.1,17.8,12.7,,68.6,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-06-13,2019-06-13,London,Stakeholder Engagement,,41.5,2.8,,3,47.3,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-06-18,2019-06-19,Birmingham,FSA Board Meeting,,121.6,8,91,,220.6,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-06-20,2019-06-21,London,Stakeholder Engagement,,63,29.2,101.75,,193.95,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-06-24,2019-06-24,"Bristol, Temple Quay",Inter-governmental meeting,,,5.3,,,5.3,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-06-25,2019-06-27,London,Executive Management Team Meeting,,88,29.8,345,,462.8,
STEVE WEARNE,Director of Policy,2019-04-01,2019-04-02,London, Internal Meetings,,95,46.4,152.5,4.12,298.02,
STEVE WEARNE,Director of Policy,2019-04-08,2019-04-09,London, Internal Meetings,,87,,129.7,10.73,227.43,
STEVE WEARNE,Director of Policy,2019-04-15,2019-04-17,London, Internal Meetings,,147,41.39,281,,469.39,
STEVE WEARNE,Director of Policy,2019-04-22,2019-04-24,Geneva,Inter-governmental meeting,193.18,,20.04,397.5,,610.72,
STEVE WEARNE,Director of Policy,2019-04-29,2019-04-30,Birmingham,Executive Management Team Meeting,,52.9,,97,,149.9,
STEVE WEARNE,Director of Policy,2019-05-08,2019-05-08,London,FSA Board Meeting,,121,,,,121,
STEVE WEARNE,Director of Policy,2019-05-08,2019-05-09,Washington,Inter-governmental meeting,1304.47,22,43.73,264.63,,1634.83,
STEVE WEARNE,Director of Policy,2019-05-09,2019-05-17,Ottawa,Inter-governmental meeting,675.8,72.3,18.2,1352.92,,2119.22,Inc. Dinner (7 FSA/Defra Officials)
STEVE WEARNE,Director of Policy,2019-05-21,2019-05-21,Belfast,Executive Management Team Meeting,188.68,28,7.14,,,223.82,
STEVE WEARNE,Director of Policy,2019-05-21,2029-05-23,London, Internal Meetings,,43.5,32.81,452.62,,528.93,inc. lunch (external stakeholder)
STEVE WEARNE,Director of Policy,2019-05-29,2019-05-30,London, Internal Meetings,,188.5,,198.79,,387.29,
STEVE WEARNE,Director of Policy,2019-06-03,2019-06-05,London, Internal Meetings,,167,,351.18,,518.18,
STEVE WEARNE,Director of Policy,2019-06-10,2019-06-11,London, Internal Meetings,,178.5,,198.88,,377.38,inc. dinner (2 officials)
STEVE WEARNE,Director of Policy,2019-06-16,2019-06-17,Oslo,Inter-governmental meeting,375.39,39.14,28.95,113.98,,557.46,
STEVE WEARNE,Director of Policy,2019-06-17,2019-06-19,Birmingham,FSA Board Meeting,,64.7,18.21,221.9,,304.81,inc. taxis (4 officials)
STEVE WEARNE,Director of Policy,2019-06-23,2019-06-24,Brussels,Inter-governmental meeting,,245.02,,131.68,,376.7,
STEVE WEARNE,Director of Policy,2019-06-24,2019-06-26,London,Executive Management Team Meeting,,32,,310.45,,342.45,
REBECCA SUDWORTH,Director of Policy,2019-04-10,2019-04-11,Cardiff, Internal Meetings,,81.9,7.5,111,,200.4,
REBECCA SUDWORTH,Director of Policy,2019-04-23,2019-04-24,Cardiff, Internal Meetings,,,19,99.95,,118.95,
REBECCA SUDWORTH,Director of Policy,2019-04-29,2019-04-30,Birmingham,Executive Management Team Meeting,,82.35,,97,,179.35,
REBECCA SUDWORTH,Director of Policy,2019-05-20,2019-05-22,Belfast,Executive Management Team Meeting,74.31,,,327.95,,402.26,
REBECCA SUDWORTH,Director of Policy,2019-05-22,2019-05-24,Leeds,External Conference,91.32,94.65,10.8,188.95,,385.72,
REBECCA SUDWORTH,Director of Policy,2019-05-31,2019-05-31,Brackley,Office / Site Visit,,,7.5,,,7.5,
REBECCA SUDWORTH,Director of Policy,2019-06-17,2019-06-19,Birmingham,FSA Board Meeting,,49.5,,327.6,,377.1,
REBECCA SUDWORTH,Director of Policy,2019-06-20,2019-06-20,Birmingham,Office / Site Visit,,38.35,,,,38.35,
DR COLIN SULLIVAN,Chief Operating Officer,2019-04-02,2019-04-02,London, Internal Meetings,160.32,,44.99,71.4,,276.71,
DR COLIN SULLIVAN,Chief Operating Officer,2019-04-03,2019-04-03,York,Staff Event,92.2,,50,8.55,,150.75,
DR COLIN SULLIVAN,Chief Operating Officer,2019-04-09,2019-04-09,London, Internal Meetings,99.59,,30,149.24,,278.83,
DR COLIN SULLIVAN,Chief Operating Officer,2019-04-10,2019-04-10,London, Internal Meetings,122.94,,28,12.8,,163.74,
DR COLIN SULLIVAN,Chief Operating Officer,2019-04-16,2019-04-16,London,Executive Management Team Meeting,195.49,,30,199.24,,424.73,
DR COLIN SULLIVAN,Chief Operating Officer,2019-04-17,2019-04-17,London,Stakeholder Engagement,102.32,,28,9.7,,140.02,
DR COLIN SULLIVAN,Chief Operating Officer,2019-04-30,2019-04-30,Birmingham,Executive Management Team Meeting,92.65,111.1,40.89,114.89,,359.53,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-01,2019-02-01,Welwyn,Stakeholder Engagement,,,6.7,105,,111.7,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-02,2019-05-02,Welwyn, Internal Meetings,124.81,,44.69,12.68,,182.18,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-07,2019-05-07,London, Internal Meetings,159.67,,30,229.5,,419.17,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-08,2019-05-08,London,FSA Board Meeting,,104.5,,64.6,,169.1,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-09,2019-05-09,Shropshire,Office / Site Visit,158.19,,28,,,186.19,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-14,2019-05-14,London,Executive Management Team Meeting,71.82,133.5,50.6,113.47,,369.39,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-15,2019-05-15,Leeds,Stakeholder Engagement,,,,82.2,,82.2,
