Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Catherine Brown,Chief Executive,2017-01-10,2017-01-10,London,Official Meeting,,,,145,,145,
Catherine Brown,Chief Executive,2017-01-19,2017-01-19,London ,Official Meeting,,,14.45,,,14.45,
Catherine Brown,Chief Executive,2017-01-24,2017-01-24,London ,Official Meeting,,,11,,,11,
Catherine Brown,Chief Executive,2017-01-31,2017-01-31,London ,Stakeholder Event,,,,145,,145,
Catherine Brown,Chief Executive,2017-02-14,2017-02-15,London / Paris,Stakeholder Event,,198,36.88,307.05,,541.93,
Catherine Brown,Chief Executive,2017-02-20,2017-02-20,London,Stakeholder Event,,,,139.93,,139.93,
Catherine Brown,Chief Executive,2017-02-21,2017-02-21,Birmingham,Stakeholder Event,,91.1,75,4.85,,170.95,
Catherine Brown,Chief Executive,2017-02-22,2017-02-22,Wales,Stakeholder Event,,42.4,,58.1,,100.5,
Catherine Brown,Chief Executive,2017-02-25,2017-02-25,Wales,Attendance at Conference,,,,62,,62,
Catherine Brown,Chief Executive,2017-03-01,2017-03-02,London / Belfast / York,Official Meetings / Executive Management Team Meeting,91.06,126.8,80,75.47,,373.33,
Catherine Brown,Chief Executive,2017-03-07,2017-03-07,London,Stakeholder Event,,,22.15,100.68,,122.83,
Catherine Brown,Chief Executive,2017-03-08,2017-03-08,London / Cardiff,Speaker at Conference,,172.1,,6.5,,178.6,
Catherine Brown,Chief Executive,2017-03-14,2017-03-14,London,FSA Board Meeting,,,,145,,145,
Catherine Brown,Chief Executive,2017-03-29,2017-03-31,Stanhope,Executive Management Team Meeting,,46.7,,156,,202.7,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2017-01-23,2017-01-24,Newbury,FSA Board Retreat,,29.4,,85,,114.4,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2017-01-29,2017-02-04,New York / Chicago / Denver / Dallas - USA,Attendance at Conference,524.1,,237.25,313.26,,1074.61,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2017-02-09,2017-02-10,Birmingham,Executive Management Team Meeting,,45,,145,,190,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2017-02-14,2017-02-15,Paris,Attendance at Conference,,338,,139.75,,477.75,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2017-02-26,2017-03-03,"Houston, Texas - USA",Attendance at Conference,849.97,,41.8,958.36,115.29,1965.42,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2017-03-14,2017-03-15,London,FSA Board Meeting,,,,126.95,,126.95,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2017-03-22,2017-03-23,York,Official Meeting,,89,,,,89,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2017-03-29,2017-03-31,Stanhope,Executive Management Team Meeting,,143.5,61.95,157,,362.45,
