Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Emily Miles,Chief Executive,2020-02-12,2020-02-12,Manchester ,External Conference,,92.1,17.58,,,109.68,
Emily Miles,Chief Executive,2020-02-13,2020-02-13,London,External Conference,,,11.38,,,11.38,
Emily Miles,Chief Executive,2020-02-19,2020-02-19,Gatwick,External Conference,,38.5,,,,38.5,
Emily Miles,Chief Executive,2020-02-24,2020-02-26,London,External Conference,,,59.28,,,59.28,
Emily Miles,Chief Executive,2020-03-04,2020-03-04,London,External Conference,,,7.71,,,7.71,
CHRIS HITCHEN, Director of Finance & Performance,2020-01-07,2020-01-07,London,Executive Management Team Meeting,,183.75,33.8,5.95,,223.5,
CHRIS HITCHEN, Director of Finance & Performance,2020-01-13,2020-01-14,London,Executive Management Team Meeting,,285.15,40.1,27.34,,352.59,
CHRIS HITCHEN, Director of Finance & Performance,2020-01-15,2020-01-15,,NA,,,,,15.98,15.98,Office Equipment
CHRIS HITCHEN, Director of Finance & Performance,2020-01-16,2020-01-16,London,Inter-governmental meeting,,165.75,30.9,9.17,,205.82,
CHRIS HITCHEN, Director of Finance & Performance,2020-01-20,2020-01-21,London,FSA Board Meeting,,273.25,32.1,164.36,,469.71,
CHRIS HITCHEN, Director of Finance & Performance,2020-01-28,2020-01-28,London,Executive Management Team Meeting,,273.25,28.3,10,,311.55,
CHRIS HITCHEN, Director of Finance & Performance,2020-01-30,2020-01-30,London,Executive Management Team Meeting,,273.25,28.6,3.89,,305.74,
CHRIS HITCHEN, Director of Finance & Performance,2020-02-04,2020-02-04,London,Executive Management Team Meeting,,194.25,32.5,,,226.75,
CHRIS HITCHEN, Director of Finance & Performance,2020-02-06,2020-02-06,London,Inter-governmental meeting,,165.75,32.6,,,198.35,
CHRIS HITCHEN, Director of Finance & Performance,2020-02-10,2020-02-10,London,Inter-governmental meeting,,165.75,30.2,,,195.95,
CHRIS HITCHEN, Director of Finance & Performance,2020-02-11,2020-02-11,London,Executive Management Team Meeting,,273.25,37.4,,,310.65,
CHRIS HITCHEN, Director of Finance & Performance,2020-02-25,2020-02-26,Liverpool,External Conference,,33.85,36.7,594,,664.55,
CHRIS HITCHEN, Director of Finance & Performance,2020-02-27,2020-02-27,London,Stakeholder Engagement,,273.25,29.9,,,303.15,
CHRIS HITCHEN, Director of Finance & Performance,2020-03-03,2020-03-03,London,Executive Management Team Meeting,,273.25,28.8,,,302.05,
CHRIS HITCHEN, Director of Finance & Performance,2020-03-05,2020-03-05,London,Executive Management Team Meeting,,273.25,30.3,,,303.55,
CHRIS HITCHEN, Director of Finance & Performance,2020-03-10,2020-03-11,London,FSA Board Meeting,,273.25,79.1,151.45,,503.8,
CHRIS HITCHEN, Director of Finance & Performance,2020-03-13,2020-03-13,,Annual Subscriptions to Publications,,,,,297,297,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-01-09,2020-01-09,Belfast,Inter-governmental meeting,,,3.15,,,3.15,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-01-13,2020-01-14,London, Internal Meetings,150.68,37,2.7,124.9,49.44,364.72,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-01-20,2020-01-21,London,FSA Board Meeting,166.68,,2.7,137.4,51.6,358.38,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-01-28,2020-01-30,London,Executive Management Team Meeting,166.68,37,2.7,300.4,,506.78,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-01-31,2020-01-31,London,Oyster Card Top-Up,,60,,,,60,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-02-04,2020-02-06,London,Executive Management Team Meeting,453.36,37,2.7,439.58,58.64,991.28,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-02-14,2020-02-14,London, Internal Meetings,240.68,37,2.7,28.1,44.84,353.32,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-02-20,2020-02-20,Belfast,Inter-governmental meeting,,,6.3,,,6.3,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-02-25,2020-02-25,London, Internal Meetings,182.68,37,,,49.44,269.12,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-02-26,2020-02-27,Newport,Stakeholder Engagement,82.67,,122.7,5,51.99,262.36,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-02-29,2020-02-29,London,Oyster Card Top-Up,,60,,,,60,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-03-05,2020-03-06,London, Internal Meetings,,37,2.7,151.2,49.44,240.34,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-03-10,2020-03-12,London,FSA Board Meeting,265.68,37,2.7,129,58.64,493.02,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-03-13,2020-03-13,Belfast,External Conference,,,3.15,,,3.15,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-03-18,2020-03-18,Belfast,Inter-governmental meeting,,,6.3,,,6.3,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-03-19,2020-03-19,London, Internal Meetings,283.68,37,,,43.99,364.67,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2020-03-23,2020-03-23,London, Internal Meetings,145,,,,,145,
RICK MUMFORD,Acting Director of Science,2020-01-08,2020-01-09,London, Internal Meetings,,279.25,22,150.23,,451.48,
RICK MUMFORD,Acting Director of Science,2020-01-13,2020-01-15,London, Internal Meetings,,279.25,28,261.1,,568.35,
RICK MUMFORD,Acting Director of Science,2020-01-20,2020-01-22,London,FSA Board Meeting,,279.25,28,225.15,,532.4,
RICK MUMFORD,Acting Director of Science,2020-01-28,2020-01-29,London,Executive Management Meeting,,279.25,22,168.68,,469.93,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2020-01-07,2020-01-08,London,Executive Management Team Meeting,,165.25,,134.5,,299.75,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2020-01-13,2020-01-15,London, Internal Meetings,,217.6,,261.5,,479.1,
