Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
JASON FEENEY,Chief Executive,2017-07-10,2017-07-13,London,Internal Meetings,,122,16,370.51,,508.51,
JASON FEENEY,Chief Executive,2017-07-13,2017-07-14,Milano,Stakeholder Engagement,321.01,,,88.22,,409.23,
JASON FEENEY,Chief Executive,2017-07-17,2017-07-18,London,Internal Meetings,,122,16,119.17,,257.17,
JASON FEENEY,Chief Executive,2017-07-18,2017-07-19,Taunton,Inter-governmental meeting,,167.7,32,108.54,,308.24,
JASON FEENEY,Chief Executive,2017-07-24,2017-07-25,London,Internal Meetings,,122,15,130.95,,267.95,
JASON FEENEY,Chief Executive,2017-07-25,2017-07-26,Peterborough ,Internal Meetings,,41.3,27,94.45,,162.75,
JASON FEENEY,Chief Executive,2017-07-28,2017-07-28,Northallerton ,Stakeholder Engagement,,,15.3,,,15.3,
JASON FEENEY,Chief Executive,2017-07-31,2017-08-01,London,Internal Meetings,,264,,106.74,,370.74,
JASON FEENEY,Chief Executive,2017-08-08,2017-08-08,London,Internal Meetings,,122,15,5.4,,142.4,
JASON FEENEY,Chief Executive,2017-08-08,2017-08-10,Ireland,Stakeholder Engagement,146.94,19.99,170,239.78,,576.71,
JASON FEENEY,Chief Executive,2017-08-14,2017-08-15,London,Stakeholder Engagement,,122,15,117.22,,254.22,
JASON FEENEY,Chief Executive,2017-08-15,2017-08-16,Cardiff,Internal Meetings,,174,,129.58,,303.58,
JASON FEENEY,Chief Executive,2017-08-22,2017-08-22,London,Internal Meetings,,137,15,5,,157,
JASON FEENEY,Chief Executive,2017-08-22,2017-08-23,Aberdeen,Internal Meetings,160.7,,17.2,111.45,,289.35,
JASON FEENEY,Chief Executive,2017-08-29,2017-08-30,London,Internal Meetings,,264,31,132.6,,427.6,
JASON FEENEY,Chief Executive,2017-09-19,2017-09-21,Belfast,FSA Board Meeting,112.78,,3,417.4,,533.18,
JASON FEENEY,Chief Executive,2017-09-25,2017-09-27,Brussels,Inter-governmental meeting,284.1,122,60.01,1125.16,,1591.27,
JASON FEENEY,Chief Executive,2017-09-28,2017-09-28,London,Internal Meetings,,264,51.48,5.4,,320.88,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2017-08-08,2017-08-09,Dublin,Inter-governmental meeting,138.81,25,,97.85,,261.66,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2017-09-19,2017-09-20,Belfast,FSA Board Meeting,297.53,25,140.2,219.76,,682.49,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2017-09-25,2017-09-25,Heathrow,Inter-governmental meeting,,25,,,,25,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-04,2017-07-04,London,Internal Meetings,,135,,3.25,,138.25,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-05,2017-07-05,London,Internal Meetings,,135,,5,,140,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-06,2017-07-06,Birmingham,External Conference,,9.4,,5,,14.4,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-11,2017-07-11,London,Internal Meetings,,135,,4.75,,139.75,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-12,2017-07-13,York / Cleveland,Internal Meetings / Site Visit,,,61.05,144.5,11.3,216.85,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-17,2017-07-17,London,Internal Meetings,,135,,3.75,,138.75,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-18,2017-07-18,London,Internal Meetings,,135,,4,,139,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-20,2017-07-20,Aberdeen / Dundee,Internal Meetings,,,25.84,27,,52.84,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-24,2017-07-25,London,Executive Management Team Meeting,,135,,29.5,14.35,178.85,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-26,2017-07-26,Manchester,Office / Site Visit,,,29.48,3.99,,33.47,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-28,2017-07-28,Northallerton,Office / Site Visit,,,36.74,9.34,,46.08,
MARTIN EVANS,Interim Chief Operating Officer ,2017-07-31,2017-08-01,London,Internal Meetings,,121,,26.1,,147.1,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-01,2017-08-02,York ,Internal Meetings,,263.9,,124.5,,388.4,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-03,2017-08-03,London,Internal Meetings,,135,,,,135,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-07,2017-08-07,London,Internal Meetings,,135,,3.99,,138.99,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-08,2017-08-08,London,Internal Meetings,,136,,3,,139,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-09,2017-08-09,London,Internal Meetings,,135,42.17,3.75,,180.92,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-10,2017-08-10,Belfast,Internal Meetings,220.06,9.4,,25.54,,255,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-11,2017-08-11,London,Internal Meetings,,114.5,,5,,119.5,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-14,2017-08-14,London,Internal Meetings,,135,,3.99,,138.99,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-15,2017-08-15,London,Internal Meetings,,145,13.25,5,,163.25,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-16,2017-08-16,London,Internal Meetings,,135,,3.25,,138.25,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-17,2017-08-17,London,Internal Meetings,,135,,3.75,,138.75,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-18,2017-08-18,London,Internal Meetings,,114.5,,4,,118.5,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-22,2017-08-22,London,Internal Meetings,,124.5,,2.99,,127.49,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-23,2017-08-23,Belfast,Internal Meetings,159.42,9.4,,13.3,,182.12,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-28,2017-08-29,London,Internal Meetings,,135,,149.98,,284.98,
MARTIN EVANS,Interim Chief Operating Officer ,2017-08-30,2017-08-31,London,Internal Meetings,,135,13.25,102.25,,250.5,
MARTIN EVANS,Interim Chief Operating Officer ,2017-09-04,2017-09-04,London,Internal Meetings,,135,26.5,,,161.5,
MARTIN EVANS,Interim Chief Operating Officer ,2017-09-05,2017-09-05,York,Internal Meetings,,,42.22,10.24,,52.46,
MARTIN EVANS,Interim Chief Operating Officer ,2017-09-06,2017-09-06,Dudley,Office / Site Visit,,,17.16,5,,22.16,
MARTIN EVANS,Interim Chief Operating Officer ,2017-09-07,2017-09-07,London,Internal Meetings,,135,,3.25,,138.25,
