Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
CATHERINE BOWLES,"Acting Director Strategy, Legal and Governance",2019-10-28,2019-10-29,Cardiff,Executive Management Team Meeting,,168.55,,81.1,,249.65,
CHRIS HITCHEN, Director of Finance & Performance,2019-10-01,2019-10-01,London, Internal Meetings,,273,32,2.6,,307.6,
CHRIS HITCHEN, Director of Finance & Performance,2019-10-08,2019-10-09,London,Inter-governmental meeting,,165.5,30.3,32.35,,228.15,
CHRIS HITCHEN, Director of Finance & Performance,2019-10-14,2019-10-16,London,FSA Board Meeting,,257,31.3,411.4,,699.7,
CHRIS HITCHEN, Director of Finance & Performance,2019-10-22,2019-10-23,London, Internal Meetings,,273.25,29.6,220.1,,522.95,
CHRIS HITCHEN, Director of Finance & Performance,2019-10-28,2019-10-29,Cardiff, Internal Meetings,,260.05,29.2,103.85,,393.1,
CHRIS HITCHEN, Director of Finance & Performance,2019-11-05,2019-11-05,London, Internal Meetings,,,26.5,2.7,,29.2,
CHRIS HITCHEN, Director of Finance & Performance,2019-11-07,2019-11-07,London, Internal Meetings,,183.25,35.7,7.8,,226.75,
CHRIS HITCHEN, Director of Finance & Performance,2019-11-12,2019-11-13,London, Internal Meetings,,193.25,31.8,209.58,,434.63,
CHRIS HITCHEN, Director of Finance & Performance,2019-11-26,2019-11-26,London, Internal Meetings,,273.25,36,6.8,,316.05,
CHRIS HITCHEN, Director of Finance & Performance,2019-12-03,2019-12-04,London,FSA Board Meeting,,221.75,29.4,232.66,,483.81,
CHRIS HITCHEN, Director of Finance & Performance,2019-12-10,2019-12-10,London, Internal Meetings,,273.25,28.6,4.85,,306.7,
CHRIS HITCHEN, Director of Finance & Performance,2019-12-17,2019-12-18,London, Internal Meetings,,266.3,34.3,171,,471.6,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-10-01,2019-10-02,York,Executive Management Team Meeting,374.52,25,151.69,351.95,,903.16,Inc. meal (12 FSA officials)
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-10-03,2019-10-03,Belfast,Inter-governmental meeting,,,3.15,,,3.15,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-10-07,2019-10-09,London/York, Internal Meetings,200.31,122,61.69,191.7,,575.7,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-10-14,2019-10-15,London,FSA Board Meeting,390.76,37,51.69,152.24,,631.69,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-10-16,2019-10-16,Belfast,Stakeholder Engagement,,,20.7,,,20.7,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-10-17,2019-10-17,Belfast,Stakeholder Engagement,,,22.5,,8,30.5,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-10-22,2019-10-23,London, Internal Meetings,318.63,5,51.69,198.75,,574.07,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-10-24,2019-10-24,Newtownabbey, Internal Meetings,,,7.2,,,7.2,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-10-29,2019-10-30,Cardiff,Executive Management Team Meeting,228.76,65.5,100.29,168.9,,563.45,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-11-05,2019-11-06,East Midlands/London, Internal Meetings,281.76,86,74.44,214.25,,656.45,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-11-13,2019-11-14,London, Internal Meetings,352.76,,81.99,155.4,,590.15,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-11-19,2019-11-20,London, Internal Meetings,342.32,93.09,28.8,89,,553.21,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-11-26,2019-11-26,London, Internal Meetings,442.91,37,,,,479.91,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-11-30,2019-11-30,London,Oyster Card Top-Up,,60,,,,60,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-12-03,2019-12-06,London,FSA Board Meeting,511.08,25,58.99,179.7,,774.77,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-12-10,2019-12-11,London/York, Internal Meetings,208.52,81.5,48.99,136.33,,475.34,
MARIA JENNINGS,"Director for Regulatory Compliance, People and Northern Ireland",2019-12-16,2019-12-18,London, Internal Meetings,170.76,29.9,,135.6,,336.26,
RICK MUMFORD,Acting Director of Science,2019-09-30,2019-10-01,London,Executive Management Team Meeting,,133.5,17,160.05,,310.55,
RICK MUMFORD,Acting Director of Science,2019-10-09,2019-10-11,London, Internal Meetings,,110,33,316.45,,459.45,
RICK MUMFORD,Acting Director of Science,2019-10-14,2019-10-16,London,FSA Board Meeting,,123.5,28,308.7,,460.2,
RICK MUMFORD,Acting Director of Science,2019-10-21,2019-10-21,Manchester,External Conference,,45.15,22,,,67.15,
RICK MUMFORD,Acting Director of Science,2019-10-22,2019-10-23,London, Internal Meetings,,279.25,,147.5,,426.75,
RICK MUMFORD,Acting Director of Science,2019-10-28,2019-10-29,Cardiff,Executive Management Team Meeting,,279.35,17,348,,644.35,
RICK MUMFORD,Acting Director of Science,2019-11-03,2019-11-04,Cardiff,External Conference,,177.95,39,206.88,,423.83,
RICK MUMFORD,Acting Director of Science,2019-11-05,2019-11-06,London, Internal Meetings,,139.75,,200.65,,340.4,
RICK MUMFORD,Acting Director of Science,2019-11-11,2019-11-12,London, Internal Meetings,,88.75,39,176.49,,304.24,
RICK MUMFORD,Acting Director of Science,2019-11-12,2019-11-14,Norwich,External Conference,,127.5,33.96,275.5,,436.96,
RICK MUMFORD,Acting Director of Science,2019-11-20,2019-11-21,London, Internal Meetings,,138.25,22,176.83,,337.08,
RICK MUMFORD,Acting Director of Science,2019-11-25,2019-11-27,London, Internal Meetings,,199.5,33,323.95,,556.45,
RICK MUMFORD,Acting Director of Science,2019-12-02,2019-12-04,London,FSA Board Meeting,,189.25,28,345.2,,562.45,
RICK MUMFORD,Acting Director of Science,2019-12-10,2019-12-12,London, Internal Meetings,,212.25,33,328.3,,573.55,
RICK MUMFORD,Acting Director of Science,2019-12-16,2019-12-17,London, Internal Meetings,,279.25,17,118.5,,414.75,
RICK MUMFORD,Acting Director of Science,2019-12-19,2019-12-19,Newcastle,Office / Site Visit,,42.35,,,,42.35,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-10-01,2019-10-01,London,Executive Management Team Meeting,,50.1,,,,50.1,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-10-03,2019-10-03,London, Internal Meetings,,172.5,,,,172.5,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-10-08,2019-10-09,London, Internal Meetings,,113.6,,178.5,,292.1,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-10-14,2019-10-16,London,FSA Board Retreat,,110,,321.5,,431.5,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-10-20,2019-10-23,"Washington, USA",Stakeholder Engagement,1824.42,22.25,536.53,745.3,,3128.5,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-10-30,2019-10-31,London, Internal Meetings,,98,,178.9,,276.9,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-11-05,2019-11-07,London,External Conference,,113.85,,387.85,,501.7,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-11-11,2019-11-12,London, Internal Meetings,,113.85,,169.85,,283.7,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-11-14,2019-11-14,London,Stakeholder Engagement,,113.6,,,,113.6,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-11-19,2019-11-21,London, Internal Meetings,,172.75,,325.2,,497.95,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-11-23,2019-11-23,London,External Conference,,66.6,,2.99,,69.59,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-11-25,2019-11-28,London,Executive Management Team Meeting,,218,,456.1,,674.1,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-12-03,2019-12-04,London,FSA Board Meeting,,113.85,,173.7,,287.55,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-12-10,2019-12-11,London, Internal Meetings,,172.5,,182.3,,354.8,
JULIE PIERCE,"Director of Openness, Data and Digital and Wales",2019-12-17,2019-12-19,London,Executive Management Team Meeting,,160.75,,256.4,,417.15,
REBECCA SUDWORTH, Director of Policy,2019-10-03,2019-10-03,Preston,External Conference,,236,,,,236,
REBECCA SUDWORTH, Director of Policy,2019-10-29,2019-10-30,Cardiff,Executive Management Team Meeting,,131.3,,75,,206.3,
REBECCA SUDWORTH, Director of Policy,2019-11-07,2019-11-07,Suffolk,Office / Site Visit,,75.15,,,,75.15,
REBECCA SUDWORTH, Director of Policy,2019-11-20,2019-11-20,Birmingham, Internal Meetings,,144.95,,,,144.95,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-01,2019-10-01,London, Internal Meetings,51.2,11.9,40.59,99.59,,203.28,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-03,2019-10-03,London,Inter-governmental meeting,181.92,,23.1,7.1,,212.12,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-07,2019-10-07,York,Inter-governmental meeting,96.32,130.4,80,190.76,,497.48,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-08,2019-10-08,London, Internal Meetings,,,,169,,169,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-09,2019-10-09,London, Internal Meetings,233.31,,28,,,261.31,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-14,2019-10-14,London,FSA Board Retreat,188,,30,152.62,,370.62,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-15,2019-10-15,London,FSA Board Retreat,130.31,,28,9.98,,168.29,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-22,2019-10-22,London,Executive Management Team Meeting,66.8,,32.99,196.54,,296.33,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-23,2019-10-23,London, Internal Meetings,,13,,,,13,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-24,2019-10-24,Chipping Campden ,External Conference,121.97,,,7.25,,129.22,
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-26,2019-10-26,Huntingdon ,External Conference,267.51,8.85,26.99,9.55,,312.9,
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-05,2019-11-05,London,Executive Management Team Meeting,136.48,,30,188.64,,355.12,
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-06,2019-11-06,London, Internal Meetings,245.31,,28,9.95,,283.26,
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-11,2019-11-11,Newcastle ,Office / Site Visit,78.48,70.25,30,193.44,,372.17,
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-12,2019-11-12,London,Executive Management Team Meeting,162.31,,28,12.75,,203.06,
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-19,2019-11-19,Cardiff,Stakeholder Engagement,92.32,121.25,63.06,194.03,,470.66,
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-20,2019-11-20,London , Internal Meetings,,,,192.6,,192.6,
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-21,2019-11-21,London, Internal Meetings,,,,7,,7,
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-26,2019-11-26,London,Executive Management Team Meeting,165,,30,171.64,,366.64,
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-27,2019-11-27,London, Internal Meetings,176.31,,28,7.5,,211.81,
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-03,2019-12-03,London, Internal Meetings,119.98,,30,250.49,,400.47,
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-04,2019-12-04,London, Internal Meetings,,,,259.6,,259.6,
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-05,2019-12-05,London, Internal Meetings,166,,28,6.09,,200.09,
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-10,2019-12-10,London,Executive Management Team Meeting,324.48,,58,22.19,,404.67,
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-17,2019-12-17,London,Executive Management Team Meeting,102.98,,30,143.23,,276.21,
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-18,2019-12-18,London/York, Internal Meetings,,136.75,,74.32,,211.07,
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-19,2019-12-19,York,Internal meetings,182.2,,50,,,232.7,
STEVE WEARNE,"Director, Global Affairs",2019-09-28,2019-10-05,"Almaty, Kazakhstan",Inter-governmental meeting,1655.72,,,792.55,,2448.27,
STEVE WEARNE,"Director, Global Affairs",2019-10-09,2019-10-11,Brussels,Inter-governmental meeting,442.27,,113.37,290.26,,845.9,
STEVE WEARNE,"Director, Global Affairs",2019-10-14,2019-10-16,London,FSA Board Meeting,,112,,331.88,,443.88,
STEVE WEARNE,"Director, Global Affairs",2019-10-19,2019-10-25,"Santiago, Chile",Inter-governmental meeting,2939.34,146.25,98.62,460.82,8.23,3653.26,
STEVE WEARNE,"Director, Global Affairs",2019-10-28,2019-10-28,London, Internal Meetings,,168.85,,10.79,,179.64,
STEVE WEARNE,"Director, Global Affairs",2019-11-01,2019-11-08,Cleveland,Inter-governmental meeting,1363.22,222.7,77.2,1109.86,3.13,2776.11,
STEVE WEARNE,"Director, Global Affairs",2019-11-11,2019-11-13,Rome,Inter-governmental meeting,142.98,26.68,101.19,323.16,,594.01,
STEVE WEARNE,"Director, Global Affairs",2019-11-13,2019-11-14,London, Internal Meetings,,58.75,,155.4,,214.15,
STEVE WEARNE,"Director, Global Affairs",2019-11-23,2019-11-26,Dusseldorf,Inter-governmental meeting,195.94,211,12.04,220.27,,639.25,
STEVE WEARNE,"Director, Global Affairs",2019-12-02,2019-12-03,London, Internal Meetings,,248.25,,183.14,,431.39,
STEVE WEARNE,"Director, Global Affairs",2019-12-05,2019-12-14,Pyeongchang,Inter-governmental meeting,1994.42,264.09,,953.78,2.7,3214.99,
